name,location,phone,website_url,profile_url
Bernal,"Rochester Hills, MI 48309",(888) 703-7703,https://bernalrotarydies.com/food-processing-system/,https://www.thomasnet.com/company/bernal-10043523/profile?heading=48630404&companyId=bernal-10043523&card_position=1&page_number=1&suppliers_in_page=25&coverage_area=NA
"Central Machines, Inc.","Lincolnshire, IL 60069",(866) 292-1528,https://www.centralmachines.com/capabilities/custom-automation-equipment/,https://www.thomasnet.com/company/central-machines-inc-10099257/profile?heading=48630404&coverage_area=NA&companyId=central-machines-inc-10099257&card_position=2&page_number=1&suppliers_in_page=25
Capital Industries,"Shelbyville, IN 46176",(317) 642-4980,https://www.capitalindustries.com/design-build/,https://www.thomasnet.com/company/capital-industries-30603848/profile?heading=48630404&coverage_area=NA&companyId=capital-industries-30603848&card_position=3&page_number=1&suppliers_in_page=25
C.G. Bretting Manufacturing Co. Inc.,"Ashland, WI 54806",(888) 669-1981,https://www.bretting.com/equipment/specialty-custom-equipment/,https://www.thomasnet.com/company/c-g-bretting-manufacturing-co-inc-10106311/profile?heading=48630404&coverage_area=NA&companyId=c-g-bretting-manufacturing-co-inc-10106311&card_position=4&page_number=1&suppliers_in_page=25
Crane Hill Machine,"Seymour, IN 47274",(812) 358-3534,https://www.cranehillmachine.com/,https://www.thomasnet.com/company/crane-hill-machine-958668/profile?heading=48630404&coverage_area=NA&companyId=crane-hill-machine-958668&card_position=5&page_number=1&suppliers_in_page=25
"Fusion, Inc.","Willoughby, OH 44094",(844) 821-0912,https://www.fusion-inc.com/products/automated-brazing-soldering-machines/,https://www.thomasnet.com/company/fusion-inc-10015508/profile?heading=48630404&coverage_area=NA&companyId=fusion-inc-10015508&card_position=6&page_number=1&suppliers_in_page=25
"Asia Forging Supply Co., Ltd.","Romulus, MI 48174",(888) 604-2188,https://www.d-iamts.com/,https://www.thomasnet.com/company/asia-forging-supply-co-ltd-20102168/profile?heading=48630404&coverage_area=NA&companyId=asia-forging-supply-co-ltd-20102168&card_position=7&page_number=1&suppliers_in_page=25
,,(407) 830-9300,https://unipak.com/,https://www.thomasnet.com/company/uni-pak-corp-792368/profile?heading=48630404&coverage_area=NA&companyId=uni-pak-corp-792368&card_position=8&page_number=1&suppliers_in_page=25
,,(888) 240-5124,https://www.coperion.com/en/products-services/process-equipment,https://www.thomasnet.com/company/coperion-10020847/profile?heading=48630404&coverage_area=NA&companyId=coperion-10020847&card_position=9&page_number=1&suppliers_in_page=25
,,(626) 358-0110,https://www.lintechmotion.com/Custom-Mechanical-Positioning-Systems.cfm,https://www.thomasnet.com/company/lintech-10023208/profile?heading=48630404&coverage_area=NA&companyId=lintech-10023208&card_position=10&page_number=1&suppliers_in_page=25
,,(317) 773-3885,https://www.vibromatic.net/about-us/,https://www.thomasnet.com/company/vibromatic-co-inc-10040503/profile?heading=48630404&coverage_area=NA&companyId=vibromatic-co-inc-10040503&card_position=11&page_number=1&suppliers_in_page=25
,,(317) 776-1970,https://www.mciscrewdriver.com/,https://www.thomasnet.com/company/mci-screwdriver-systems-inc-1225842/profile?heading=48630404&coverage_area=NA&companyId=mci-screwdriver-systems-inc-1225842&card_position=12&page_number=1&suppliers_in_page=25
,,(516) 759-4161,https://adeptengineering.com/,https://www.thomasnet.com/company/adept-inc-20037999/profile?heading=48630404&coverage_area=NA&companyId=adept-inc-20037999&card_position=13&page_number=1&suppliers_in_page=25
,,(775) 446-5523,https://www.nevatio.com/engineering-services/machine-design,https://www.thomasnet.com/company/nevatio-engineering-inc-30973953/profile?heading=48630404&coverage_area=NA&companyId=nevatio-engineering-inc-30973953&card_position=14&page_number=1&suppliers_in_page=25
,,(877) 367-3770,https://enser.com/manufacturing-services/,https://www.thomasnet.com/company/enser-corp-137154/profile?heading=48630404&coverage_area=NA&companyId=enser-corp-137154&card_position=15&page_number=1&suppliers_in_page=25
,,(260) 483-9586,https://www.jbtool.com/manufacturing-capabilities/custom-automation-machinery-turnkey-systems/,https://www.thomasnet.com/company/jb-tool-die-engineering-inc-128850/profile?heading=48630404&coverage_area=NA&companyId=jb-tool-die-engineering-inc-128850&card_position=16&page_number=1&suppliers_in_page=25
,,(973) 882-0060,https://independentusa.com/,https://www.thomasnet.com/company/imc-independent-machine-co-566824/profile?heading=48630404&coverage_area=NA&companyId=imc-independent-machine-co-566824&card_position=17&page_number=1&suppliers_in_page=25
,,(859) 255-7907,https://www.visumatic.com/,https://www.thomasnet.com/company/visumatic-industrial-products-107022/profile?heading=48630404&coverage_area=NA&companyId=visumatic-industrial-products-107022&card_position=18&page_number=1&suppliers_in_page=25
,,(440) 946-1040,https://www.ohiobroach.com/about/,https://www.thomasnet.com/company/the-ohio-broach-machine-co-10028525/profile?heading=48630404&coverage_area=NA&companyId=the-ohio-broach-machine-co-10028525&card_position=19&page_number=1&suppliers_in_page=25
,,(203) 334-2197,http://www.comexswiss.com/index.html,https://www.thomasnet.com/company/continental-machinery-exchange-corp-1267544/profile?heading=48630404&coverage_area=NA&companyId=continental-machinery-exchange-corp-1267544&card_position=20&page_number=1&suppliers_in_page=25
,,(844) 553-6455,https://classifiermillingsystems.com/services/,https://www.thomasnet.com/company/classifier-milling-systems-30344505/profile?heading=48630404&coverage_area=NA&companyId=classifier-milling-systems-30344505&card_position=21&page_number=1&suppliers_in_page=25
,,(812) 701-1570,https://waglermachine.com/services/,https://www.thomasnet.com/company/wagler-machine-llc-30963934/profile?heading=48630404&coverage_area=NA&companyId=wagler-machine-llc-30963934&card_position=22&page_number=1&suppliers_in_page=25
,,(320) 252-8200,https://www.dciinc.com/engineering/,https://www.thomasnet.com/company/dci-inc-10010339/profile?heading=48630404&coverage_area=NA&companyId=dci-inc-10010339&card_position=23&page_number=1&suppliers_in_page=25
,,(888) 383-8108,https://www.thermalcare.com/products/,https://www.thomasnet.com/company/thermal-care-inc-10038378/profile?heading=48630404&coverage_area=NA&companyId=thermal-care-inc-10038378&card_position=24&page_number=1&suppliers_in_page=25
,,(585) 786-3170,https://www.unidex-inc.com/customized-solutions/lean-manufacturing/,https://www.thomasnet.com/company/unidex-corporation-586391/profile?heading=48630404&coverage_area=NA&companyId=unidex-corporation-586391&card_position=25&page_number=1&suppliers_in_page=25
